PROI,SEXO,MESPAR,ANOPAR,count
41,1,2,2021,627
41,1,3,2021,743
41,1,4,2021,663
41,1,5,2021,654
41,1,6,2021,696
41,1,7,2021,713
41,1,8,2021,696
41,1,9,2021,681
41,1,10,2021,699
41,1,11,2021,678
41,1,12,2021,685
41,6,1,2021,550
41,6,2,2021,560
41,6,3,2021,664
41,6,4,2021,601
41,6,5,2021,609
41,6,6,2021,623
41,6,7,2021,651
41,6,8,2021,649
41,6,9,2021,645
41,6,10,2021,721
41,6,11,2021,638
41,6,12,2021,654
42,1,1,2021,18
42,1,2,2021,14
42,1,3,2021,24
42,1,4,2021,21
42,1,5,2021,24
42,1,6,2021,22
42,1,7,2021,20
42,1,8,2021,20
42,1,9,2021,31
42,1,10,2021,17
42,1,11,2021,26
42,1,12,2021,25
42,6,1,2021,23
42,6,2,2021,19
42,6,3,2021,26
42,6,4,2021,18
42,6,5,2021,23
42,6,6,2021,25
42,6,7,2021,24
42,6,8,2021,18
42,6,9,2021,24
42,6,10,2021,18
42,6,11,2021,30
42,6,12,2021,27
43,1,1,2021,217
43,1,2,2021,223
43,1,3,2021,248
43,1,4,2021,237
43,1,5,2021,263
43,1,6,2021,253
43,1,7,2021,304
43,1,8,2021,251
43,1,9,2021,290
43,1,10,2021,289
43,1,11,2021,273
43,1,12,2021,270
43,6,1,2021,203
43,6,2,2021,206
43,6,3,2021,260
43,6,4,2021,247
43,6,5,2021,224
43,6,6,2021,225
43,6,7,2021,277
43,6,8,2021,256
43,6,9,2021,251
43,6,10,2021,286
43,6,11,2021,231
43,6,12,2021,247
44,1,1,2021,30
44,1,2,2021,26
44,1,3,2021,41
44,1,4,2021,32
44,1,5,2021,33
44,1,6,2021,27
44,1,7,2021,45
44,1,8,2021,34
44,1,9,2021,43
44,1,10,2021,42
44,1,11,2021,46
44,1,12,2021,36
44,6,1,2021,25
44,6,2,2021,33
44,6,3,2021,38
44,6,4,2021,35
44,6,5,2021,46
44,6,6,2021,31
44,6,7,2021,36
44,6,8,2021,42
44,6,9,2021,43
44,6,10,2021,34
44,6,11,2021,44
44,6,12,2021,32
45,1,1,2021,166
45,1,2,2021,159
45,1,3,2021,197
45,1,4,2021,179
45,1,5,2021,189
45,1,6,2021,188
45,1,7,2021,208
45,1,8,2021,188
45,1,9,2021,189
45,1,10,2021,191
45,1,11,2021,203
45,1,12,2021,204
45,6,1,2021,163
45,6,2,2021,153
45,6,3,2021,190
45,6,4,2021,180
45,6,5,2021,164
45,6,6,2021,183
45,6,7,2021,187
45,6,8,2021,198
45,6,9,2021,187
45,6,10,2021,209
45,6,11,2021,199
45,6,12,2021,179
46,1,1,2021,666
46,1,2,2021,705
46,1,3,2021,833
46,1,4,2021,766
46,1,5,2021,801
46,1,6,2021,757
46,1,7,2021,929
46,1,8,2021,839
46,1,9,2021,879
46,1,10,2021,885
46,1,11,2021,794
46,1,12,2021,791
46,6,1,2021,619
46,6,2,2021,628
46,6,3,2021,773
46,6,4,2021,665
46,6,5,2021,658
46,6,6,2021,691
46,6,7,2021,765
46,6,8,2021,785
46,6,9,2021,797
46,6,10,2021,788
46,6,11,2021,774
46,6,12,2021,777
47,1,1,2021,112
47,1,2,2021,113
47,1,3,2021,128
47,1,4,2021,130
47,1,5,2021,132
47,1,6,2021,134
47,1,7,2021,161
47,1,8,2021,141
47,1,9,2021,156
47,1,10,2021,126
47,1,11,2021,114
47,1,12,2021,124
47,6,1,2021,93
47,6,2,2021,120
47,6,3,2021,137
47,6,4,2021,121
47,6,5,2021,110
47,6,6,2021,114
47,6,7,2021,144
47,6,8,2021,134
47,6,9,2021,145
47,6,10,2021,131
47,6,11,2021,117
47,6,12,2021,137
48,1,1,2021,252
48,1,2,2021,276
48,1,3,2021,338
48,1,4,2021,299
48,1,5,2021,303
48,1,6,2021,319
48,1,7,2021,317
48,1,8,2021,365
48,1,9,2021,296
48,1,10,2021,316
48,1,11,2021,302
48,1,12,2021,288
48,6,1,2021,246
48,6,2,2021,232
48,6,3,2021,294
48,6,4,2021,279
48,6,5,2021,292
48,6,6,2021,272
48,6,7,2021,289
48,6,8,2021,299
48,6,9,2021,324
48,6,10,2021,289
48,6,11,2021,288
48,6,12,2021,294
49,1,1,2021,30
49,1,2,2021,30
49,1,3,2021,27
49,1,4,2021,22
49,1,5,2021,21
49,1,6,2021,22
49,1,7,2021,38
49,1,8,2021,32
49,1,9,2021,25
49,1,10,2021,24
49,1,11,2021,32
49,1,12,2021,26
49,6,1,2021,23
49,6,2,2021,20
49,6,3,2021,31
49,6,4,2021,37
49,6,5,2021,22
49,6,6,2021,40
49,6,7,2021,33
49,6,8,2021,27
49,6,9,2021,34
49,6,10,2021,34
49,6,11,2021,29
49,6,12,2021,30
50,1,1,2021,271
50,1,2,2021,240
50,1,3,2021,322
50,1,4,2021,299
50,1,5,2021,309
50,1,6,2021,325
50,1,7,2021,318
50,1,8,2021,320
50,1,9,2021,309
50,1,10,2021,360
50,1,11,2021,296
50,1,12,2021,264
50,6,1,2021,258
50,6,2,2021,253
50,6,3,2021,277
50,6,4,2021,278
50,6,5,2021,275
50,6,6,2021,288
50,6,7,2021,347
50,6,8,2021,297
50,6,9,2021,294
50,6,10,2021,289
50,6,11,2021,294
50,6,12,2021,287
51,1,1,2021,34
51,1,2,2021,23
51,1,3,2021,33
51,1,4,2021,25
51,1,5,2021,21
51,1,6,2021,31
51,1,7,2021,42
51,1,8,2021,32
51,1,9,2021,40
51,1,10,2021,31
51,1,11,2021,30
51,1,12,2021,27
51,6,1,2021,27
51,6,2,2021,21
51,6,3,2021,27
51,6,4,2021,19
51,6,5,2021,29
51,6,6,2021,27
51,6,7,2021,26
51,6,8,2021,31
51,6,9,2021,35
51,6,10,2021,34
51,6,11,2021,26
51,6,12,2021,20
52,1,1,2021,29
52,1,2,2021,40
52,1,3,2021,42
52,1,4,2021,33
52,1,5,2021,43
52,1,6,2021,29
52,1,7,2021,42
52,1,8,2021,39
52,1,9,2021,41
52,1,10,2021,52
52,1,11,2021,35
52,1,12,2021,38
52,6,1,2021,36
52,6,2,2021,35
52,6,3,2021,43
52,6,4,2021,33
52,6,5,2021,32
52,6,6,2021,29
52,6,7,2021,47
52,6,8,2021,28
52,6,9,2021,39
52,6,10,2021,38
52,6,11,2021,41
52,6,12,2021,32
1,1,1,2020,97
1,1,2,2020,84
1,1,3,2020,123
1,1,4,2020,93
1,1,5,2020,109
1,1,6,2020,113
1,1,7,2020,104
1,1,8,2020,110
1,1,9,2020,99
1,1,10,2020,102
1,1,11,2020,89
